大明湖公园 大明湖路271号
趵突泉 山东省济南市历下区趵突泉南路1号
红叶谷生态文化旅游区 济南市历城区锦绣川水库南3公里
千佛山风景名胜区 山东省济南市历下区经十一路18号
济南野生动物世界 山东省济南市章丘区埠村街道南侧埠西村
朱家峪旅游度假区 山东省济南市章丘区官庄镇朱家峪村
济南动物园 山东省济南市天桥区济泺路87号
九如山 济南市历城区西营街道葫芦峪村
龙洞风景区 山东省济南市历下区龙洞庄村
济南玻璃栈道 济南市市中区大石崮森林公园
百里黄河 济南市天桥区泺口环城路166号
灵岩寺旅游区 济南市长清区万德镇
黄河银杏林 山东省济南市槐荫区
济南青铜山大峡谷风景区 山东省济南市历城区锦绣川老庄村北
雪野湖 山东省济南市莱芜区242省道
水帘峡风景区 山东省济南市历城区柳埠镇簸箕掌村158号
百脉泉公园 山东省济南市章丘区汇泉路2017号
南部山区 山东省济南市泰山余脉区域
大峰山齐长城旅游风景区 山东省济南市长清区孝里镇广里村220国道
金象山橡谷国际营地 山东省济南市历城区仲宫街道商家村
七星台风景区 济南市章丘区垛庄镇四角城村
济南黄金谷山水画廊 济南市历下区浆水泉西路南端浆水泉景区内
华山湖公园 山东省济南市历城区荷花路61号
波罗峪 仲宫镇波罗峪大道328号(东泉泸村东二公里)
黑虎泉 济南市历下区黑虎泉西路
山东博物馆 济南市历下区经十东路11899号
济南国际园博园 济南市长清区大学路3366号
鲍山公园 山东省济南市历城区济钢新村(济钢体育场附近)
大明湖海底世界 山东省济南市历下区大明湖路271号大明湖风景名胜区内
马山坡景区 崇华路103附近
济南植物园 山东省济南市章丘区埠村243省道附近
天下第一泉风景区 山东省济南市历下区趵突泉南路1号
百花洲 山东省济南市历下区大明湖路(大明湖风景名胜区南)
云翠山 洪范池镇向南3公里处
危山风景区 济南市章丘区
藏龙涧 山东省济南市历下区近龙洞风景区
济南方特东方神画 山东省济南市槐荫区吴家堡镇济齐路277号
三王峪 山东济南市章丘区曹范镇三王峪景区
五峰山 五峰镇距济南市区22公里
英雄山风景区 市中区英雄山18号
九顶塔中华民族欢乐园 济南市历城区柳埠街道秦家庄
房干生态旅游区 山东省济南市莱芜区雪野镇房干村
锦屏山旅游度假区 济南市章丘区文祖镇三德范村西南2公里处
泉城公园 济南市历下区经十路106号
百花公园 山东省济南市历城区闵子骞路10号
腊山 济南市槐荫区国防路东50米
济南森林公园 张庄路321号(近兴济河)
小门牙风景区 近郊南部山区
莱芜莲花山风景区 山东省济南市莱芜区高庄街道刘家林村
蟠龙山森林公园 济南市历城区彩石乡旅游路6777号
美里湖湿地公园 济南市槐荫区美里北路
珍珠泉 院前街1号人大常委会内
洪范池 山东平阴县城西南30公里的洪范池旅游区
济南市环城公园 济南市历下区护城河畔
华阳宫 山东省济南市历城区荷花路华山脚下
中山公园 市中区经三路132号
黄河森林公园 山东省济南市天桥区309国道黄河泺口浮桥北岸路西
莲台山 济南市长清区透明洞附近
大佛头 济南市历下区旅游路中段(近鱼翅皇宫大酒店)
济西国家湿地公园 山东省济南市长清区经十西路
崇明寺 济南市历下区县学街11号
蓬莱院 霞侣市街2号
济南市博物馆 济南市历下区经十一路30号
山东香山国际旅游度假区-王石门天上人家 大王庄镇王石门村
匡山公园 山东省济南市槐荫区济齐路108号
王府池子 山东省济南市历下区王府池子街9号院
胡山省级森林公园 济南市章丘区经十东路
四门塔风景区 济南市历城区柳埠街道苏家庄55号
九顶塔中华民族欢乐园-九顶塔 柳埠镇秦家庄九顶塔中华民族欢乐园内
天主教济南教区洪家楼天主堂 洪楼路1号山东大学老校门口对面(近洪楼广场北)
澄波湖风景区 济南市济阳区开元大街
长清湖 山东省济南市长清区济南国际园博园东风水库(景观湖)
白云湖公园 山东省济南市章丘区穿湖路西60米
药山公园 济南市天桥区蓝翔中路
凤凰湖 山东省济南市历下区龙洞路(海尔绿城南侧)
山东省美术馆 山东省济南市历下区经十路11777号
龙盘山公园 章丘区唐王山路以南双山西路以西
七里山 山东省济南市市中区六里山南路
济北公园 济南市济阳区济北开发区开元大街
月亮湾都市庄园 济南市历城区仲宫镇杨而庄村(卧虎山水库南岸)
BK2机车主题公园 山东省济南市槐荫区西沙路799号
济南龙门山景区 山东省济南市历城区柳埠镇马家峪东北角
文昌山山体公园 清河街与凤凰路交汇处向东350米
印象济南泉世界 济南市槐荫区青岛路2668号
莲台胜境 济南市长清区张夏街道境内莲台山
郎茂山公园 山东省济南市市中区二环南路北
济南老舍纪念馆 历下区和市中区交叉口南新街58号(近齐鲁医院)
齐长城遗址 济南市莱芜区S234
山东省科技馆 济南市历下区南门大街1号
还乡店公园 还乡店路25号
领秀城森林公园 舜耕路东200米
龙山文化博物馆 山东省济南市章丘区龙山郡西南处
泉城广场 山东省济南市历下区泺源大街69号
凤凰山 济南市天桥区凤凰山路3号
胶济铁路博物馆 济南市天桥区经一路30-1号
济南花圃公园 山东省济南市经十路26059号
母亲河公园 山东省济南市天桥区济广高速公路
义净寺 张夏镇张夏村光明山(104国道张夏收费站南侧)
眼明泉 山东省济南市章丘区龙泉路
鲁能泰山7号体育公园 龙凤山路与世纪大道交叉口
吕祖泉景区 雪野镇吕祖泉风景区(国道309与省道242交口前行20公里路东)
黄台公园 黄台社区293号
解放阁 济南市历下区黑虎泉西路2号
跑马岭生态休闲度假区 山东省济南市历城区柳埠镇跑马岭景区云顶路1号
百花洲历史文化街区 山东省济南市历下区百花洲湖东侧
卧龙峪生态景区 山东省济南市长清区万德镇店台村(一零四国道皮家店桥东)
趵突泉-李清照纪念堂 山东省济南市市中区趵突泉南路1号趵突泉公园
旧军孟洛川纪念馆 山东省济南市章丘区旧东村
蹦乐华夏蹦床主题公园 花园路东段17号星河民营科技园-16-5,6号
唐冶公园 济南市历城区唐冶东路1777号
